Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2016,6.0,2.0,,0.386,0.225,1476,4414,,,,,,0.594,,,1.5,0.894,1.7,,,,,,,,,0.7,,0.367,,HPG,4.2,15.0,128.0,42.0,28.1,1.5,0.7,12096.0,0.263,0.236,0.198,0.3,0.2,0.7,5.6,6198.0,0.23,0.118,101.0,24.1,-0.27,1.0,1.2,0.236,1.0,0.291
2015,6.5,1.6,0.2,0.266,0.146,779,3229,,,,,,0.566,,,1.3,0.109,1.8,,,,,,,,,0.8,,0.242,,HPG,5.3,16.0,120.0,39.0,17.5,1.2,0.5,9368.0,0.204,0.161,0.127,0.5,0.3,1.2,8.3,1922.0,0.164,0.093,97.0,22.3,-0.412,1.1,1.1,0.161,0.9,-0.207
2014,,,0.1,0.295,0.139,702,2599,,,,,,0.526,,,1.2,0.609,1.9,,,,,,,,,0.9,,0.235,,HPG,5.7,18.0,138.0,39.0,12.0,1.3,0.5,11817.0,0.203,0.165,0.123,0.6,0.3,1.3,5.7,2729.0,0.172,0.08,117.0,20.4,-0.127,1.2,1.2,0.165,0.9,0.485
2013,,,0.15,0.222,0.093,436,2104,,,,,,0.408,,,0.7,0.966,2.5,,,,,,,,,1.4,,0.24,,HPG,7.5,23.0,173.0,42.0,7.0,1.1,0.4,7956.0,0.173,0.138,0.103,0.8,0.3,2.1,3.1,1260.0,0.224,0.107,155.0,15.7,-0.318,0.8,1.2,0.138,0.9,0.32
2012,,,0.2,0.128,0.054,222,1697,,,,,,0.399,,,0.8,-0.196,2.5,,,,,,,,,1.3,,0.106,,HPG,6.6,29.0,168.0,30.0,3.1,1.4,0.5,6026.0,0.148,0.097,0.059,0.8,0.3,2.9,3.3,2859.0,0.16,0.13,166.0,12.6,-0.261,0.9,1.2,0.097,0.8,-0.315
2011,,,,0.179,0.076,276,1534,,,,,,0.392,,,0.8,-0.084,2.6,,,,,,,,,1.3,,0.133,,HPG,4.0,31.0,133.0,20.0,2.9,1.4,0.5,8795.0,0.161,0.126,0.069,0.9,0.4,2.1,2.4,2839.0,0.144,0.183,144.0,11.8,-0.291,1.0,1.2,0.126,0.7,-0.043
2010,,,0.2,0.239,0.107,301,1354,,,,,,0.406,,,0.8,0.061,2.5,,,,,,,,,1.3,,0.3,,HPG,7.2,29.0,110.0,18.0,4.9,1.3,0.5,9193.0,0.172,0.141,0.095,0.9,0.4,2.1,2.6,1730.0,0.164,0.084,121.0,12.7,-0.213,1.0,1.2,0.141,0.8,-0.024
2009,,,0.1,0.282,0.16,284,1041,,,,,,0.455,,,1.0,0.489,2.2,,,,,,,,,1.0,,0.202,,HPG,7.7,27.0,130.0,20.0,21.7,1.2,0.6,9417.0,0.243,0.204,0.157,0.8,0.4,1.3,7.2,843.0,0.302,0.128,137.0,13.4,-0.476,0.8,1.2,0.204,0.9,0.299
2008,,,0.3,0.236,0.164,190,866,,,,,,0.687,,,3.2,0.326,1.5,,,,,,,,,0.3,,0.266,,HPG,,23.0,87.0,16.0,13.6,3.1,1.6,7250.0,0.15,0.121,0.102,0.1,0.1,0.5,97.5,2593.0,0.124,,95.0,16.0,-0.366,1.5,1.2,0.121,1.0,-0.338
2007,,,0.1,0.371,0.236,143,684,,,,,,0.644,,,2.0,7.953,1.6,,,,,,,,,0.5,,8.255,,HPG,,22.0,69.0,11.0,19.5,2.5,1.2,10952.0,0.171,0.137,0.114,0.2,0.1,0.6,13.8,1867.0,0.127,,79.0,16.7,-0.189,1.2,1.2,0.137,1.0,
2024,19.3,1.0,0.028,0.053,0.03,928,17881,,,,,,0.561,,,1.3,-0.291,1.8,,,,,,,,,0.8,,0.023,,HSG,8.8,49.0,90.0,17.0,3.4,1.7,0.5,2391.0,0.112,0.013,0.014,0.6,0.3,3.8,,5808.0,0.135,0.181,122.0,7.4,-0.236,2.0,0.9,0.013,1.2,-0.152
2023,16.5,1.2,0.023,0.077,0.047,1310,17479,,,,,,0.577,,,1.4,-1.762,1.7,,,,,,,,,0.7,,0.069,,HSG,8.4,46.0,88.0,23.0,5.2,1.6,0.6,2821.0,0.117,0.027,0.025,0.4,0.2,2.2,,5045.0,0.155,0.141,111.0,7.9,-0.051,1.7,0.9,0.027,1.0,3.351
2022,-6.4,0.7,,-0.1,-0.055,-1720,16352,,,,,,0.636,,,1.8,-1.242,1.6,,,,,,,,,0.6,,-0.106,,HSG,37.1,35.0,78.0,27.0,-3.5,1.6,0.5,648.0,0.073,,,0.3,0.2,12.2,,3260.0,0.064,0.07,86.0,10.5,-0.066,2.5,,,1.3,-0.951
2021,4.3,1.7,,0.477,0.217,7109,18301,,,,,,0.492,,,1.0,1.755,2.0,,,,,,,,,1.0,,0.546,,HSG,2.8,16.0,58.0,15.0,15.0,1.4,0.5,13327.0,0.168,0.09,0.077,0.5,0.3,1.1,4.9,4497.0,0.09,0.096,60.0,22.2,-0.061,2.5,0.9,0.09,1.0,0.607
2020,7.8,1.7,,0.243,0.091,2580,11834,,,,,,0.408,,,0.7,1.6,2.5,,,,,,,,,1.4,,0.036,,HSG,6.0,-4.0,66.0,13.0,4.8,1.1,0.5,8293.0,0.172,0.079,0.051,1.0,0.4,2.3,2.7,604.0,0.069,0.035,49.0,,-0.052,1.7,0.8,0.079,0.8,0.325
2019,6.8,0.6,,0.091,0.027,992,11419,,,,,,0.337,,,0.5,2.589,3.0,,,,,,,,,2.0,,0.089,,HSG,5.0,17.0,77.0,21.0,1.8,0.9,0.3,6257.0,0.131,0.048,0.018,1.7,0.6,4.3,2.4,-1226.0,0.077,0.131,74.0,21.1,-0.085,1.6,1.2,0.048,0.4,0.242
2018,18.5,0.5,,0.026,0.006,276,10484,,,,,,0.261,,,0.4,-0.889,3.8,,,,,,,,,2.8,,-0.053,,HSG,9.3,18.0,89.0,18.0,0.9,0.9,0.3,5038.0,0.1,0.023,0.004,2.3,0.6,7.9,2.3,-1512.0,0.082,0.125,90.0,20.2,-0.31,1.7,1.7,0.023,0.3,-0.525
2017,6.7,1.5,0.1,0.244,0.064,2482,11070,,,,,,0.227,,,0.3,-0.301,4.4,,,,,,,,,3.4,,0.198,,HSG,7.5,18.0,110.0,11.0,3.6,1.0,0.4,10600.0,0.161,0.075,0.043,3.1,0.7,4.3,4.4,-456.0,0.091,0.099,117.0,20.2,-0.534,1.2,1.2,0.075,0.7,-0.416
2016,5.4,2.1,0.1,0.451,0.154,3553,9242,,,,,,0.327,,,0.5,1.453,3.1,,,,,,,,,2.0,,0.419,,HSG,5.8,15.0,89.0,15.0,10.9,1.0,0.4,18143.0,0.232,0.121,0.089,1.7,0.6,2.1,3.8,263.0,0.05,0.024,89.0,24.3,-0.395,1.4,1.2,0.121,0.9,0.173
2015,5.3,1.2,0.25,0.25,0.079,1448,6512,,,,,,0.365,,,0.6,0.653,2.7,,,,,,,,,1.7,,0.285,,HSG,5.8,15.0,74.0,15.0,5.6,1.0,0.4,15471.0,0.162,0.076,0.042,1.4,0.5,3.0,2.6,-13.0,0.072,0.037,74.0,23.6,-0.196,1.9,1.3,0.076,0.7,0.425
2014,,,0.1,0.18,0.051,876,5069,,,,,,0.271,,,0.4,-0.225,3.7,,,,,,,,,2.7,,0.083,,HSG,8.7,15.0,83.0,13.0,3.9,0.9,0.3,10857.0,0.114,0.044,0.027,2.5,0.7,4.9,4.6,-440.0,0.042,0.03,85.0,24.0,-0.302,1.7,1.3,0.044,0.8,-0.076
2013,,,0.25,0.257,0.085,1131,4683,,,,,,0.299,,,0.4,0.417,3.3,,,,,,,,,2.3,,0.133,,HSG,6.3,16.0,74.0,13.0,5.3,1.0,0.3,11754.0,0.144,0.071,0.045,2.0,0.6,3.1,4.6,-52.0,0.032,0.018,77.0,22.4,-0.266,1.6,1.2,0.071,0.8,0.184
2012,,,0.25,0.201,0.069,798,4132,,,,,,0.383,,,0.6,0.711,2.6,,,,,,,,,1.6,,0.081,,HSG,5.0,18.0,66.0,22.0,2.5,1.0,0.6,9925.0,0.136,0.071,0.038,1.4,0.5,3.1,2.8,108.0,0.061,0.051,61.0,20.8,-0.017,1.9,1.1,0.071,0.6,0.115
2011,,,0.2,0.127,0.043,466,3821,,,,,,0.311,,,0.5,1.522,3.2,,,,,,,,,2.2,,0.083,,HSG,4.2,18.0,78.0,21.0,2.0,1.0,0.3,8905.0,0.133,0.073,0.025,1.8,0.5,3.2,2.7,-49.0,0.038,0.075,75.0,20.6,-0.222,1.5,1.0,0.073,0.4,0.018
2010,,,0.05,0.064,0.023,185,3529,,,,,,0.372,,,0.6,-0.802,2.7,,,,,,,,,1.7,,0.588,,HSG,5.7,24.0,87.0,16.0,,0.9,0.4,8750.0,0.153,0.083,0.017,1.4,0.5,3.1,3.4,-190.0,0.036,0.035,94.0,15.5,-0.858,1.2,1.3,0.083,0.3,-0.34
2009,,,,0.514,0.182,935,2222,,,,,,0.344,,,0.5,4.625,2.9,,,,,,,,,1.9,,0.567,,HSG,6.1,23.0,109.0,17.0,8.8,1.0,0.4,13249.0,0.272,0.198,0.141,1.7,0.6,1.9,2.7,8.0,0.125,0.052,115.0,16.0,-0.404,1.0,1.1,0.198,0.8,1.734
2008,,,0.1,0.115,0.046,166,1418,,,,,,0.371,,,0.6,-0.457,2.7,,,,,,,,,1.7,,-0.032,,HSG,,15.0,87.0,14.0,2.3,0.9,0.3,4845.0,0.177,0.092,0.03,1.5,0.6,3.4,2.4,-52.0,0.099,,88.0,23.6,-0.043,1.4,1.2,0.092,0.4,-0.235
2007,,,,0.307,0.12,306,1465,,,,,,0.426,,,0.7,0.445,2.3,,,,,,,,,1.3,,1.767,,HSG,,17.0,85.0,12.0,3.1,1.3,0.5,6330.0,0.174,0.107,0.075,1.1,0.5,2.5,1.4,205.0,0.033,,90.0,21.8,-0.827,1.2,1.1,0.107,0.8,-0.159
2024,14.3,1.1,,0.08,0.035,1012,13118,,,,,,0.434,,,0.8,2.858,2.3,,,,,,,,,1.3,,0.083,,NKG,10.2,45.0,121.0,23.0,3.3,1.3,0.5,3674.0,0.089,0.034,0.022,1.1,0.5,5.2,,2581.0,0.067,0.073,143.0,8.1,-0.438,1.5,0.8,0.034,0.8,0.292
2023,73.2,1.6,,0.022,0.009,262,12116,,,,,,0.443,,,0.8,-1.942,2.3,,,,,,,,,1.3,,0.019,,NKG,13.0,48.0,133.0,47.0,1.3,1.4,0.5,2844.0,0.06,0.02,0.006,0.9,0.4,6.6,,2539.0,0.145,0.131,133.0,7.7,-0.055,1.5,0.7,0.02,0.5,0.454
2022,-34.3,0.8,,-0.023,-0.009,-278,11885,,,,,,0.395,,,0.7,-1.033,2.5,,,,,,,,,1.5,,-0.453,,NKG,18.1,39.0,129.0,67.0,0.4,1.3,0.4,1956.0,0.064,0.004,,1.0,0.4,9.5,1663.5,2306.0,0.189,0.262,101.0,9.4,-0.082,1.7,,0.004,-1.1,-0.875
2021,3.7,1.4,0.032,0.5,0.192,8452,21738,,,,,,0.372,,,0.6,6.536,2.7,,,,,,,,,1.7,,0.799,,NKG,3.7,20.0,81.0,36.0,11.3,1.3,0.4,15625.0,0.152,0.098,0.079,0.7,0.2,1.1,81.1,2617.0,0.131,0.097,64.0,18.7,-0.052,1.8,0.9,0.098,0.9,2.211
2020,9.0,0.8,0.03,0.095,0.037,1121,12082,,,,,,0.41,,,0.7,4.198,2.4,,,,,,,,,1.4,,-0.121,,NKG,9.3,8.0,85.0,50.0,2.3,1.1,0.5,4866.0,0.075,0.044,0.026,0.9,0.4,3.4,5.2,394.0,0.069,0.047,42.0,47.4,-0.017,1.5,0.9,0.044,0.6,0.755
2019,26.1,0.4,,0.016,0.006,215,13750,,,,,,0.374,,,0.6,-0.178,2.7,,,,,,,,,1.7,,0.011,,NKG,8.4,20.0,77.0,36.0,0.3,1.0,0.4,2773.0,0.028,0.005,0.004,1.0,0.4,7.4,3.4,93.0,0.025,0.063,61.0,18.6,-0.028,1.5,1.9,0.005,1.4,-0.467
2018,24.6,0.5,,0.019,0.006,262,13604,,,,,,0.366,,,0.6,-0.919,2.7,,,,,,,,,1.7,,0.01,,NKG,8.1,20.0,85.0,20.0,1.2,1.0,0.4,5200.0,0.054,0.026,0.004,1.5,0.5,6.5,2.6,178.0,0.155,0.386,85.0,18.2,-0.121,1.8,1.1,0.026,0.2,-0.621
2017,7.0,1.7,0.1,0.313,0.085,3239,13463,,,,,,0.289,,,0.4,0.366,3.5,,,,,,,,,2.5,,0.864,,NKG,5.5,20.0,99.0,17.0,3.8,1.1,0.4,13714.0,0.108,0.081,0.056,2.1,0.6,3.8,2.7,572.0,0.032,0.033,102.0,18.5,-0.266,1.2,1.1,0.081,0.8,-0.217
2016,5.6,1.8,,0.467,0.104,2370,7222,,,,,,0.247,,,0.3,3.107,4.1,,,,,,,,,3.0,,1.466,,NKG,7.1,15.0,72.0,27.0,5.6,1.0,0.4,17516.0,0.113,0.089,0.058,2.6,0.7,3.2,1.2,126.0,0.11,0.062,60.0,24.9,-1.229,1.4,1.2,0.089,0.8,0.697
2015,7.3,1.4,,0.22,0.039,577,2929,,,,,,0.179,,,0.2,0.645,5.6,,,,,,,,,4.6,,0.263,,NKG,6.4,27.0,71.0,75.0,3.8,0.9,0.3,10320.0,0.078,0.054,0.022,3.1,0.6,3.5,1.4,-289.0,0.08,0.062,24.0,13.4,-0.486,1.6,1.2,0.054,0.5,0.271
2014,,,,0.183,0.029,350,2318,,,,,,0.172,,,0.2,0.478,5.8,,,,,,,,,4.8,,0.536,,NKG,5.7,27.0,59.0,67.0,1.7,1.0,0.5,8123.0,0.054,0.032,0.013,2.1,0.4,3.9,0.7,-26.0,0.064,0.051,20.0,13.4,-0.177,2.0,1.1,0.032,0.4,-0.102
2013,,,,0.171,0.023,237,1510,,,,,,0.142,,,0.2,-1.493,7.0,,,,,,,,,6.0,,0.187,,NKG,5.5,26.0,70.0,50.0,1.2,0.9,0.3,9042.0,0.065,0.041,0.011,3.5,0.5,4.8,1.0,-122.0,0.059,0.07,46.0,14.2,-0.165,2.0,1.0,0.041,0.3,2.141
2012,,,,-0.318,-0.05,-481,1272,,,,,,0.122,,,0.1,-10.072,8.2,,,,,,,,,7.2,,-0.27,,NKG,20.4,34.0,108.0,54.0,0.3,0.9,0.3,2878.0,0.04,0.016,-0.036,5.2,0.6,14.8,1.3,-145.0,0.016,0.018,88.0,10.7,-0.393,1.3,1.0,0.016,-2.3,-0.572
2011,,,,0.03,0.006,53,1744,,,,,,0.196,,,0.2,-0.889,5.1,,,,,,,,,4.1,,0.008,,NKG,7.5,48.0,113.0,43.0,1.4,0.9,0.3,6729.0,0.08,0.062,0.004,2.9,0.6,6.0,4.8,-112.0,0.039,0.039,117.0,7.6,-0.4,1.3,1.2,0.062,0.1,-0.495
2010,,,0.04,0.375,0.083,477,1730,,,,,,0.232,,,0.3,0.404,4.3,,,,,,,,,3.3,,1.158,,NKG,5.6,42.0,89.0,32.0,3.6,1.2,0.6,13324.0,0.1,0.091,0.041,2.7,0.6,2.8,10.7,184.0,0.168,0.094,99.0,8.6,-1.091,1.6,1.2,0.091,0.6,0.133
2009,,,,0.757,0.125,340,802,,,,,,0.198,,,0.2,13.498,5.0,,,,,,,,,4.0,,7.327,,NKG,,26.0,80.0,41.0,6.0,1.1,0.4,11762.0,0.094,0.08,0.052,2.2,0.4,2.1,11.4,64.0,0.404,,65.0,14.0,-0.154,1.6,1.0,0.08,0.7,0.909
2024,16.5,1.8,,0.111,0.036,2274,20480,,,,,,0.32,,,0.6,0.02,3.1,,,,,,,,,1.8,,0.003,,PLX,9.6,10.0,21.0,32.0,4.9,1.2,0.9,3841.0,0.061,0.01,0.01,0.6,0.2,3.8,35.7,8364.0,0.51,0.347,-1.0,35.5,-0.147,3.5,0.7,0.01,1.4,0.14
2023,14.9,1.6,0.045,0.112,0.037,2230,20415,,,,,,0.326,,,0.6,0.955,3.1,,,,,,,,,1.7,,0.059,,PLX,12.8,8.0,22.0,33.0,2.4,1.2,0.9,3369.0,0.056,0.008,0.01,0.7,0.2,3.9,29.6,7646.0,0.481,0.31,-2.0,45.2,-0.121,3.4,0.7,0.008,1.8,0.377
2022,26.3,1.6,0.023,0.058,0.021,1140,19276,,,,,,0.329,,,0.6,-0.489,3.0,,,,,,,,,1.7,,-0.025,,PLX,18.2,6.0,19.0,25.0,1.5,1.1,0.7,2446.0,0.041,0.003,0.005,0.5,0.2,4.7,16.5,4476.0,0.418,0.244,1.0,57.5,-0.148,4.1,0.6,0.003,2.3,-0.371
2021,22.7,2.6,,0.123,0.045,2234,19772,,,,,,0.388,,,0.8,1.872,2.6,,,,,,,,,1.3,,0.187,,PLX,15.0,9.0,26.0,32.0,4.6,1.2,0.8,3889.0,0.075,0.016,0.017,0.5,0.2,3.1,12.4,6097.0,0.219,0.1,4.0,39.8,-0.112,2.6,0.7,0.016,1.4,0.813
2020,68.7,3.2,,0.045,0.016,777,16655,,,,,,0.346,,,0.7,-0.762,2.9,,,,,,,,,1.5,,-0.081,,PLX,26.6,10.0,34.0,42.0,0.9,1.1,0.8,2146.0,0.081,0.005,0.008,0.7,0.3,5.7,11.3,2397.0,0.44,0.168,2.0,35.5,-0.119,2.0,0.7,0.005,2.2,-0.595
2019,15.6,2.8,,0.192,0.07,3272,18130,,,,,,0.373,,,0.7,0.109,2.7,,,,,,,,,1.4,,0.132,,PLX,7.7,14.0,23.0,27.0,6.1,1.1,0.8,5300.0,0.075,0.025,0.022,0.6,0.2,2.2,9.7,4580.0,0.435,0.236,10.0,25.2,-0.157,3.1,1.4,0.025,1.2,0.0
2018,15.8,2.9,,0.183,0.063,2949,16011,,,,,,0.361,,,0.7,0.081,2.8,,,,,,,,,1.4,,-0.009,,PLX,12.0,13.0,24.0,29.0,5.5,1.1,0.8,5300.0,0.072,0.025,0.02,0.6,0.3,2.2,9.9,3111.0,0.443,0.142,8.0,27.8,-0.154,3.4,1.4,0.025,1.1,0.067
2017,23.0,3.9,,0.171,0.06,2729,16149,,,,,,0.332,,,0.6,-0.257,3.0,,,,,,,,,1.6,,0.027,,PLX,11.8,15.0,28.0,34.0,7.3,1.1,0.8,4968.0,0.08,0.027,0.023,0.7,0.3,2.0,5.7,4769.0,0.608,0.185,10.0,23.7,-0.195,2.5,1.4,0.027,1.2,-0.221
2016,,,,0.277,0.089,3674,15723,,,,,,0.368,,,0.7,0.517,2.7,,,,,,,,,1.3,,0.453,,PLX,6.9,17.0,27.0,34.0,9.9,1.2,0.9,6379.0,0.115,0.045,0.038,0.4,0.2,1.7,2.5,5434.0,0.489,0.212,10.0,22.1,-0.204,2.3,1.3,0.045,1.1,-0.044
2024,9.0,1.3,,0.15,0.059,3070,21682,,,,,,0.389,,,1.1,0.124,2.6,,,,,,,,,0.9,,0.133,,PVT,3.8,91.0,11.0,32.0,4.6,1.8,1.7,10997.0,0.208,0.165,0.093,0.7,0.3,1.7,0.3,2934.0,0.111,0.154,69.0,4.0,-0.329,0.6,0.6,0.165,1.0,0.285
2023,8.7,1.2,0.013,0.152,0.061,2731,19130,,,,,,0.389,,,1.1,0.134,2.6,,,,,,,,,0.9,,0.135,,PVT,5.4,117.0,10.0,38.0,4.0,1.9,1.8,8557.0,0.192,0.148,0.102,0.7,0.3,1.7,0.3,2905.0,0.108,0.107,89.0,3.1,-0.415,0.5,0.6,0.148,1.1,0.14
2022,8.1,1.2,0.015,0.153,0.064,2408,16859,,,,,,0.421,,,1.3,0.181,2.4,,,,,,,,,0.8,,0.05,,PVT,4.4,114.0,8.0,37.0,5.8,2.1,2.0,7508.0,0.183,0.136,0.095,0.5,0.3,1.4,0.4,3231.0,0.224,0.276,85.0,3.2,-0.229,0.6,0.6,0.136,1.2,0.293
2021,11.7,1.5,,0.131,0.056,2038,16050,,,,,,0.416,,,1.3,-0.015,2.4,,,,,,,,,0.8,,0.063,,PVT,5.2,114.0,7.0,42.0,6.7,2.0,1.9,5808.0,0.166,0.127,0.088,0.5,0.3,1.6,0.3,2400.0,0.184,0.203,80.0,3.2,-0.277,0.6,0.6,0.127,1.1,0.015
2020,6.5,0.9,0.074,0.144,0.061,2068,15095,,,,,,0.441,,,1.3,-0.029,2.3,,,,,,,,,0.8,,0.115,,PVT,4.6,88.0,7.0,39.0,6.0,1.9,1.9,5721.0,0.151,0.116,0.091,0.4,0.2,1.7,0.3,2243.0,0.235,0.281,56.0,4.1,-0.03,0.7,0.6,0.116,1.2,-0.04
2019,6.4,1.0,0.029,0.164,0.065,2130,13536,,,,,,0.398,,,1.1,0.058,2.5,,,,,,,,,0.9,,0.089,,PVT,3.8,39.0,8.0,38.0,5.5,1.5,1.5,5961.0,0.154,0.12,0.089,0.6,0.3,1.9,0.4,1318.0,0.212,0.429,8.0,9.5,-0.269,0.7,1.5,0.12,1.1,0.197
2018,6.2,1.0,0.1,0.169,0.067,2014,12429,,,,,,0.394,,,1.0,0.449,2.5,,,,,,,,,1.0,,0.091,,PVT,5.3,39.0,7.0,41.0,6.6,1.8,1.7,4980.0,0.144,0.107,0.087,0.6,0.3,2.0,0.3,1844.0,0.249,0.278,5.0,9.4,-0.249,0.7,1.5,0.107,1.2,0.187
2017,10.2,1.2,0.1,0.124,0.049,1390,11393,,,,,,0.401,,,1.0,0.083,2.5,,,,,,,,,1.0,,0.032,,PVT,5.6,40.0,6.0,46.0,4.0,2.0,1.9,4197.0,0.138,0.098,0.073,0.6,0.3,2.4,0.2,1922.0,0.42,0.348,1.0,9.0,-0.086,0.7,1.5,0.098,1.1,0.137
2016,6.3,0.7,0.1,0.119,0.044,1283,11039,,,,,,0.394,,,0.9,0.129,2.5,,,,,,,,,1.1,,0.052,,PVT,6.0,37.0,6.0,46.0,4.3,2.0,1.9,3693.0,0.113,0.078,0.062,0.7,0.3,3.3,0.2,1849.0,0.309,0.372,-3.0,10.0,-0.072,0.7,1.4,0.078,1.1,-0.06
2015,5.4,0.6,0.08,0.113,0.039,1137,10495,,,,,,0.352,,,0.8,0.079,2.8,,,,,,,,,1.2,,0.484,,PVT,4.3,41.0,8.0,48.0,5.8,1.7,1.6,3928.0,0.135,0.097,0.064,0.8,0.4,3.7,0.3,1450.0,0.517,0.767,0.0,9.0,-0.066,0.6,1.5,0.097,1.0,0.278
2014,,,,0.115,0.036,1054,7072,,,,,,0.245,,,0.6,0.425,4.1,,,,,,,,,1.7,,0.136,,PVT,6.8,39.0,8.0,43.0,3.7,2.1,2.1,3073.0,0.104,0.067,0.065,1.2,0.4,5.4,0.2,1736.0,0.549,0.584,4.0,9.4,-0.104,0.6,1.4,0.067,1.4,-0.033
2013,,,,0.089,0.027,739,6225,,,,,,0.211,,,0.5,1.19,4.7,,,,,,,,,2.1,,0.08,,PVT,7.4,54.0,8.0,43.0,3.3,1.9,1.8,3178.0,0.113,0.075,0.048,1.5,0.5,5.6,0.2,1625.0,0.708,0.733,20.0,6.7,-0.053,0.5,1.7,0.075,1.1,0.277
2012,,,,0.045,0.014,337,5766,,,,,,0.235,,,0.6,3.322,4.3,,,,,,,,,1.8,,0.202,,PVT,7.5,67.0,8.0,38.0,1.6,2.0,2.0,2490.0,0.103,0.048,0.025,1.5,0.5,7.1,0.3,1631.0,0.421,0.996,37.0,5.4,-0.023,0.6,0.3,0.048,0.2,-0.126
2011,,,,0.011,0.003,78,4796,,,,,,0.193,,,0.5,-0.663,5.2,,,,,,,,,2.2,,-0.014,,PVT,6.0,51.0,10.0,36.0,1.5,1.9,1.9,2849.0,0.095,0.062,0.006,1.9,0.5,6.3,0.2,1410.0,0.36,0.979,25.0,7.2,-0.023,0.5,2.6,0.062,0.3,-0.194
2010,,,,0.04,0.011,231,4866,,,,,,0.203,,,0.5,7.601,4.9,,,,,,,,,2.0,,1.13,,PVT,8.6,39.0,11.0,47.0,1.8,1.7,1.6,3537.0,0.104,0.07,0.021,1.8,0.5,5.5,0.3,1001.0,0.469,0.437,3.0,9.4,-0.125,0.5,0.8,0.07,0.2,-0.018
2009,,,,0.008,0.001,26,2284,,,,,,0.116,,,0.3,-0.874,8.6,,,,,,,,,3.0,,-9.283,,PVT,14.3,38.0,11.0,61.0,0.5,1.3,1.2,3600.0,0.077,0.029,0.005,2.3,0.5,8.3,0.2,423.0,0.708,0.342,-11.0,9.5,-0.388,0.3,1.1,0.029,0.2,-0.153
2008,,,,0.092,0.018,213,-275,,,,,,-0.015,,,0.2,2.683,-65.8,,,,,,,,,5.7,,-1.117,,PVT,,25.0,7.0,24.0,1.5,1.0,1.0,4249.0,0.184,0.129,0.062,4.4,0.6,6.4,0.8,99.0,2.668,,9.0,14.4,-0.623,0.2,1.8,0.129,0.9,1.289
2007,,,0.02,0.029,0.012,57,2348,,,,,,0.432,,,0.8,-0.583,2.3,,,,,,,,,1.3,,0.475,,PVT,,37.0,18.0,26.0,1.4,0.7,0.7,1856.0,0.212,0.15,0.06,0.8,0.4,6.6,0.1,-126.0,0.337,,29.0,9.9,-0.152,0.2,1.4,0.15,0.6,
2024,50.4,3.3,,0.07,0.014,1389,21025,,,,,,0.205,,,0.4,3.774,4.9,,,,,,,,,2.6,,0.139,,MSN,14.6,-26.0,75.0,44.0,1.0,0.9,0.7,7002.0,0.296,0.074,0.024,1.6,0.4,6.6,0.7,-5143.0,0.457,0.216,5.0,,-0.084,0.6,0.3,0.074,1.0,0.221
2023,230.2,3.6,,0.016,0.003,291,18465,,,,,,0.18,,,0.4,-0.883,5.5,,,,,,,,,2.9,,0.016,,MSN,20.3,-57.0,90.0,46.0,0.6,0.9,0.6,5735.0,0.283,0.053,0.005,1.8,0.5,8.6,0.7,-6659.0,0.265,0.106,-13.0,,-0.052,0.5,0.2,0.053,0.6,-0.177
2022,37.5,5.1,0.009,0.121,0.027,2479,18182,,,,,,0.185,,,0.3,-0.586,5.4,,,,,,,,,2.9,,-0.207,,MSN,18.5,-21.0,90.0,50.0,1.0,0.7,0.5,6970.0,0.276,0.061,0.047,1.9,0.5,7.1,1.3,-17646.0,0.378,0.135,20.0,,-0.096,0.5,0.7,0.061,1.1,-0.248
2021,23.6,6.2,0.008,0.351,0.071,5984,22931,,,,,,0.26,,,0.5,5.905,3.8,,,,,,,,,2.0,,1.048,,MSN,20.9,0.0,69.0,40.0,1.3,1.3,0.9,9269.0,0.25,0.071,0.097,1.4,0.5,5.5,0.5,9082.0,0.527,0.132,29.0,,-0.066,0.7,0.7,0.071,1.8,0.733
2020,84.0,6.5,,0.042,0.012,866,11194,,,,,,0.138,,,0.3,-0.816,7.3,,,,,,,,,3.6,,-0.691,,MSN,27.3,-36.0,68.0,37.0,0.4,0.8,0.4,5347.0,0.232,0.022,0.016,2.5,0.5,7.3,0.6,-9114.0,0.308,0.067,-5.0,,-0.074,0.7,0.5,0.022,1.4,-0.179
