Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2014,,,0.07,0.156,0.013,655,4383,0.039,0.153,0.027,0.897,0.04,0.083,0.165,0.375,0.1,0.088,12.1,0.493,0.301,0.537,0.502,0.6,0.895,0.014,0.499,11.1,0.014,0.093,0.146,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,0.08,0.162,0.013,602,4009,0.037,0.201,0.024,0.825,0.047,0.084,0.173,0.359,0.1,-0.013,11.9,0.485,0.298,0.527,0.486,0.645,0.817,0.012,0.504,10.9,0.018,0.178,0.178,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,0.12,0.205,0.015,610,3404,0.045,0.155,0.018,0.957,0.065,0.073,0.173,0.345,0.1,0.084,13.7,0.492,0.297,0.452,0.424,0.633,0.714,0.008,0.575,12.6,0.027,0.334,0.261,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,0.17,0.23,0.017,562,2551,0.046,-0.015,0.016,1.166,0.079,0.069,0.163,0.365,0.1,0.242,14.4,0.463,0.372,0.466,0.425,0.659,0.707,0.007,0.55,13.3,0.005,0.086,0.21,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,0.217,0.019,453,2350,0.042,0.139,0.013,1.204,0.067,0.081,0.182,0.307,0.1,0.564,12.3,0.529,0.427,0.488,0.445,0.742,0.658,0.006,0.542,11.2,0.007,0.29,0.649,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,0.194,0.019,289,1823,0.034,0.307,0.016,0.956,0.046,0.1,0.233,0.295,0.1,0.556,10.0,0.549,0.442,0.454,0.429,0.74,0.613,0.007,0.605,8.9,0.007,0.557,0.88,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,0.178,0.019,186,1170,0.041,0.133,0.018,0.857,0.072,0.1,0.281,0.339,0.1,0.428,10.0,0.534,0.425,0.386,0.355,0.579,0.665,0.006,0.674,9.0,0.009,0.271,0.355,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,0.023,130,920,0.032,0.332,0.01,1.223,,0.117,0.3,0.22,0.1,1.249,8.5,0.631,0.52,0.42,0.392,0.653,0.643,0.004,0.665,7.5,0.017,1.52,0.936,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,0.02,57,365,0.039,0.234,0.028,0.978,,0.101,0.23,0.202,0.1,1.008,9.9,0.649,0.423,0.492,0.441,0.582,0.845,0.012,0.605,8.9,0.012,1.169,0.395,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,0.015,28,168,0.034,0.2,0.0,,,0.077,0.148,0.505,0.1,0.447,12.9,0.363,0.363,0.554,0.523,0.708,0.782,0.0,0.496,11.9,-0.015,0.321,0.236,MBB,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8.0,1.4,,0.186,0.011,4720,27654,0.029,0.238,0.012,1.747,0.031,0.062,0.086,0.275,0.1,0.274,16.1,0.581,0.311,0.743,0.722,1.072,0.693,0.009,0.289,15.1,0.012,0.18,0.169,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7.3,1.2,,0.171,0.01,3706,23439,0.029,0.249,0.011,1.672,0.045,0.062,0.085,0.29,0.1,0.176,16.1,0.57,0.284,0.756,0.725,1.044,0.723,0.008,0.271,15.1,0.019,0.162,0.156,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,7.7,1.2,,0.169,0.01,3151,20170,0.03,0.255,0.012,1.859,0.037,0.06,0.085,0.299,0.1,0.201,16.7,0.563,0.265,0.75,0.705,1.021,0.735,0.009,0.275,15.7,0.017,0.157,0.128,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,11.6,1.7,,0.159,0.01,2623,17439,0.03,0.214,0.013,1.804,0.033,0.061,0.083,0.323,0.1,-0.079,16.4,0.547,0.267,0.776,0.738,0.973,0.797,0.009,0.255,15.4,0.005,-0.019,0.114,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,9.2,1.5,0.031,0.169,0.011,2849,17772,0.028,0.215,0.009,1.32,0.041,0.064,0.084,0.355,0.1,0.447,15.7,0.519,0.304,0.791,0.757,1.025,0.771,0.007,0.234,14.7,0.013,0.104,0.086,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,8.1,1.0,0.031,0.132,0.008,1968,16096,0.028,0.181,0.012,1.197,0.046,0.062,0.083,0.388,0.1,0.794,16.0,0.492,0.234,0.784,0.754,1.048,0.748,0.009,0.236,15.0,0.015,0.149,0.081,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,
